LPG,CH4,CO,ALCOHOL,CO2,TOULENE,NH4,NO2
,,,,,,,
7.15,10.74,3.76,1.27,402.75,0.53,4.2,0.45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.2,10.84,3.79,1.32,402.84,0.55,4.32,0.47
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.25,10.93,3.82,1.32,402.84,0.55,4.32,0.47
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.2,10.84,3.79,1.32,402.84,0.55,4.32,0.47
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.2,10.84,3.79,1.29,402.78,0.53,4.24,0.45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.25,10.93,3.82,1.29,402.78,0.53,4.24,0.45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.31,11.02,3.84,1.29,402.78,0.53,4.24,0.45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.25,10.93,3.82,1.29,402.78,0.53,4.24,0.45
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.25,10.93,3.82,1.31,402.81,0.54,4.28,0.46
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.31,11.02,3.84,1.36,402.91,0.56,4.41,0.48
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.31,11.02,3.84,1.41,403,0.59,4.54,0.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.25,10.93,3.82,1.39,402.97,0.58,4.49,0.49
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.2,10.84,3.79,1.43,403.04,0.59,4.58,0.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.2,10.84,3.79,1.44,403.07,0.6,4.62,0.51
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.2,10.84,3.79,1.43,403.04,0.59,4.58,0.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,1.48,403.14,0.62,4.71,0.52
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.2,10.84,3.79,1.48,403.14,0.62,4.71,0.52
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.15,10.74,3.76,1.59,403.35,0.67,4.99,0.57
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.15,10.74,3.76,1.63,403.43,0.69,5.08,0.58
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,1.67,403.5,0.7,5.18,0.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.05,10.56,3.71,1.69,403.54,0.71,5.22,0.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,10.47,3.68,1.65,403.46,0.7,5.13,0.59
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,10.47,3.68,1.69,403.54,0.71,5.22,0.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,10.47,3.68,1.69,403.54,0.71,5.22,0.6
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,10.47,3.68,1.77,403.69,0.75,5.42,0.63
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,10.47,3.68,1.81,403.77,0.77,5.52,0.65
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,10.47,3.68,1.94,404.01,0.83,5.82,0.7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,10.47,3.68,1.99,404.1,0.85,5.93,0.72
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,2.57,405.16,1.12,7.23,0.94
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.05,10.56,3.71,1.73,403.61,0.73,5.32,0.62
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,1.65,403.46,0.7,5.13,0.59
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,1.65,403.46,0.7,5.13,0.59
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,1.77,403.69,0.75,5.42,0.63
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,1.81,403.77,0.77,5.52,0.65
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,1.9,403.93,0.81,5.72,0.68
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,2.17,404.44,0.94,6.36,0.79
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,2.25,404.58,0.97,6.53,0.82
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7.1,10.65,3.73,2.22,404.53,0.96,6.47,0.81
